"#id ","Name ","Location ","Written By ","Description ","Parsed Text ","Number of Pages ","Card ","Comments ","","aNewClue1","","","","","","","","","","","","","","",""
"aNewClue","A New Clue","","Marion Marigold","","","12","","","","aNewClue2","A NEW CLUE\nby\nMARION MARIGOLD\nSUNDIAL PUBLISHING\n1988","","","","","","","","","","","","","","book:aNewClue"
"aNewClueDraft","A New Clue Draft","","Marion Marigold","","","12","","","","aNewClue3","All he needed was to find a new clue,\nIf he found a new clue, he’d know what to do,\nIf he knew what to do, he’d likely tell you,\nFor you are looking for a new clue too!","0.9069767442","","","","","","","","","","","","","book:aNewClueDraft"
"aSightseersGuideToReddington","A Sightseer's Guide to Reddington","","Andrew Darle","","A\nSightseer's\nGuide\nTo Reddington\na modest account of our town by\n<size=3>Sir ANDREW DARLE</size>\n\nINTRODUCTION\nThe third-largest city in Fenn Aries, and site of its former capital, <b>Reddington</b> is synonymous with mountains, mystery, and magic. Most tourists head straight for the boardwalk and don’t get much further than the Botanical Gardens. However, Reddington has much more to offer.\n\nSpectacular scenery, a historic castle, and a charming underground bazaar reward visitors who wish to explore further. Reddington is that type of unique, enchanting place that lingers in your mind and memories long after you leave her.\n\nThe Botanical Gardens\nReddington’s most popular attraction and a guaranteed crowd-pleaser, the Botanical Gardens, is loved by both locals and visitors for its Ajeran canopy house and mausoleum, its petal-covered trails, and a mind-boggling variety of flowers. This is the reason springtime is Reddington's busy season.\n\nSituated just east of town, the Botanical Gardens offer a scenic and captivating tableau of the natural countryside. A cobblestone trail meanders past over 1,000 species of tropical plants, each remarkable in its own right, yet even more stunning set against the spectacular backdrop of the Reddington mountains. Allow yourself at least an hour to indulge in this picturesque walk, which concludes at Mainway Station.\nIlex x meserveae\n<size=2>A specimen of Holly unique\nto Reddington’s mountains\n\nFeatherfall Keep\nYou will find sitting at the base of Mt. Perma, Reddington's second highest summit, a historic site described by scholars as significantly important to the realm's past. Featherfall Keep, the former home of Lord William Epsen, has until recently always been a private residence, serving as a family home to the Epsens since before the third era.\n\nAfter the death of Lord Epsen, his oldest son, Lionel Epsen, left the estate never to return; however, the daughter stayed, maintaining the residence and its staff until her marriage in 1951. At that point, Featherfall Keep ceased to be a family residence; it began operating as a historic house museum and tourist attraction, and the estate was designated a National Historic Landmark in 1972.\n\nIt is still believed by many that Featherfall was built by the first king of Orinda Aries when Reddington was still the capital. However, surfaced documents containing conflicting dates have recently cast some doubt on the long-standing myth.\r\n\nTrinsdale Lake\nClose your eyes and imagine tranquil, serene stillness, rolling fogs, clear water, and gliding swans. In the midst of all that beauty, sits Trinsdale Lake, one of Fenn Aries' premier vacation destinations, exclusive for its more privileged citizens. The lakeside resort and cabins have been frequented by royalty and the realm's gentry for generations. However, on the southern shore of the lake, tourists are free to enjoy the views and rub elbows with the rich and famous in the Hundred Bells Tea Room, which is open to the general public for lunch on Mondays and Fridays.\n\nMount Holly\nAt an elevation of 11,220 feet, Mount Holly is the tallest mountain in the Reddington range <i>and</i> the highest peak in the entire realm. Beyond the physical challenge itself, climbing Mount Holly Trail is a beautiful experience and one that many hikers and explorers will want to do at least once.\n\nIt’s only a few hours from Reddington to get to the trailhead, and you won’t need any local guides or special gear if you tackle the trail during the summer season. However, those willing to give this mountain a significant amount of planning and research will be greatly rewarded, whether or not they actually summit.\r\n\nOn the opposite side of the peak, far from the trail, rests the Estate of Mount Holly, nestled between the summit’s northern slope and saddle. This 80-acre mountain residence is almost as old as Reddington itself, however, unlike Featherfall Keep, the property has been completely private since the closing of the Mount Holly schoolhouse in ‘66. Still, hikers will be able to appreciate the house’s unique architecture at a distance from one of the trail’s many north-facing overlooks.\r\n\nMainway Station Bazaar\nFor the sentimental tourists wishing to pick up a souvenir to remember their stay, one might try braving the Mainway Station Bazaar. But don't be too hasty. Without proper guidance, the Mainway Station can be a dangerous place. Located underground, this unique marketplace was once Reddington's central railway station, in a time when the realm's trains were still in service. Now the turnstiles, footbridge, and platform have been appropriated and turned into a cavern of tents and torches.\n\n\nWhether you are bargain hunting, looking for adventure, or finding a memento to commemorate your visit, the Mainway Station Bazaar will be a worthy conclusion to your sightseeing adventure in Reddington.\n\nAngel Tower\nAries River\nTrinsdale Lake\nMt. Perma\nHundred Bells\nBurrow's End\nFeatherfall Keep\nMainway Station Bazaar\nBotanical Gardens\nMt.Holly\nTanner Fork","15","Date Borrower\nJan 4 '82 Anne Babbage\nNov 18 '87 LORD EVANSON\nApr 25 '92 - M. Lowry","","","aNewClue4","He had retraced his sketches and studied the files,\nReviewed all his cases and gone through the piles\nOf the evidence present and precedents evident,\nAnd retraced his steps, as it stretched on for miles.\n","1","","","","","","","","","","","","","book:aSightseersGuideToReddington"
"libraryBook1","Library Book 1","","","","","1","","","","aNewClue5","He had looked high and low in all of the rooms,\r\nHe had searched every corner in each of the tombs,\r\nIn this particular case, he had checked every space.\r\nIf he found a new clue, he’d know what to do.\r\n","0.9761904762","","","","","","","","","","","","","book:libraryBook1"
"libraryBook2","Library Book 2","","","","","1","","","","aNewClue6","He looked and he looked under beds and in nooks,\r\nHe questioned the maids, he questioned the cooks,\r\nIt was already over when he spoke to the chauffeur, \r\nWho told him new clues were found only in books.\r\n","0.9268292683","","","","","","","","","","","","","book:libraryBook2"
"bunkJounral","Bunk Room Diary","","","","","6","","","","aNewClue7","So tome after tome that the library loaned,\r\nAnd the books that he had that he already owned,\r\nWere searched from their covers all the way through,\r\nIf he found a new clue, he’d know what to do.\r","0.95","","","","","","","","","","","","","book:bunkJounral"
"draftingStrategyVol1","Drafting Strategy Vol. I","","draftingStrategyVolI","","","9","","","","aNewClue8","He changed all the letters in the lines that he found,\nHe checked all the colors of the spines that were bound,\nHe doubled the meaning of each seasonal greeting,\nAnd found that the diction of each word was sound.\n","0.6557377049","","","","","","","","","","","","","book:draftingStrategyVol1"
"draftingStrategyVol2","Drafting Strategy Vol. II","","","","","7","","","","aNewClue9","He stayed up all night and studied the maps,\nHe laid out the floorplans and measured the gaps,\nAnd if his directory was considered a trajectory,\nIt was nothing short of a full mental lapse.\n","0.9722222222","","","","","","","","","","","","","book:draftingStrategyVol2"
"draftingStrategyVol3","Drafting Strategy Vol. III","","","","VOLUME III - Drafting Strategy Architectural Digest Vol. - 3 JUNE ISSUE\nCONTENTS\nFEAUTRES - Page\nThe Potential Within\nby the Editor . . . . . . . . . . . . . . . . . . . .   2\nGems, Gems, Gems\nGem Strategies and Tips  . . . . . . . . . . . . . .  4\nPlanning Your House\nEstate Layout and Drafting   . . . . . . . . . . .   6\nTop Drafting Combos\nFive Combos You Won't Want to Miss   . . . . .   8\nMaking a Connection\nEstate Connectivity . . . . . . . . . . . . . . . . .   10\nTips and Tricks\nSuggestions for Success  . . . . . . . . . . . . . .   12\nWord from the Editor\nby the Editor  . . . . . . . . . . . . . . . . . . .   15\n\nThe Potential Within\nWe all start as an empty floorplan.\nTo the ambitious young architect, a fresh blueprint represents a world of boundless possibilities. When you are staring at a blank canvas, you have unlimited potential and ideas to explore. But, with an abun-dance of options at your disposal, the architect can also become overwhelmed by the countless choices and decisions that need to be made: <i>Should I draft a Hallway or a Closet? How many bedrooms do I need in my house?  Is Passageway really worth two gems? </i>\nAll these questions can compound, adding layers of complexity and stress to the design process. That's why it's even more important to develop simple and effective strategies that you can employ while drafting your house to ensure a successful project outcome.\n\n   In this volume of ARCHITECTURAL DIGEST, we aim to provide architects with some of those strategies and even assist them in developing their own!\n\nGems, Gems, Gems\nEvery architect needs them.\n\nAlthough many architects employ different strategies when developing their house designs, most of them agree on one guiding principle:\n\n\nHAVE GEMS\nWHILE DRAFTING\n\nOne of the most common ways architects draft them-selves into a corner is by not having the resources they need when opening a new door. If you lack the GEMS to consider all three presented options, you may be forced to draft a room\nyou do not want. To avoid this predicament, focus on drafting rooms that grant you GEMS and prioritize acquiring GEMS as early in the day as you can. This approach is a sure-fire way to set yourself up for success.\n<size=3>READER SUBMITTED</size>\n<color=#A65499>GEM</color> STRATS\n<b>Make sure you check for gems in the room you are in before clicking the door. I do this way too much!</b> \n               - Alice F.\n<b>Think about saving some gems for emer-gencies. I try to only spend them if I really, really need a room!</b> \n                 -Jenn H.\n<b>I will never draft PASSAGEWAY on the first five ranks. It's a simple strat that has served me well. </b> \n                 -Kyle P.\n<b>If you see GEMS for sale in any of the shops. Buy them out! </b> \n            -Matthew M.\n<b>Don't pass up WINE CELLAR, even if you're not thirsty. There's no such thing as too many GEMS!  <size=1.7>(I may have a bit of a problem...)</b></size>\n                -Craig O.\n\nPlanning Your House\nEstate Layout and Drafting\nWhen you begin drafting a house, it's important to start each day with a solid foundation:\n\n\nDRAFT EARLY\nRANKS FIRST\n\nA very common mistake beginners make is drafting in a straight line north, and ignoring the many unopened doors they have left behind in the Entrance Hall and rooms of the early ranks. When these architects reach the higher ranks, they quickly  discover  they  do\nnot have enough keys or gems to continue. Their day usually ends by returning to the lower ranks to draft from the doors they skipped, only to find rooms and items that would have made all the difference if they had only been found earlier in the day.\nAs the layout to the right demonstrates, even a path of rooms that snakes through the house and does not go in a straight line can also be structurally weak if you are leaving lots of unopened doors on the ranks behind you.\n\nBy starting each day on a strong foundation of rooms on the early ranks, you will have a much better chance of finding success when you eventually start heading further into the house.\n\nTop Drafting Combos\nFive Combos You Won't Want to Miss!\nAnother aspect to consider when planning your house is the order in which you draft rooms. For instance, if you draft CLOISTER before TERRACE, you will be down 3 gems. But, if you draft them in the reverse order, CLOISTER would\nbe free! Identifying a synergistic pair of floorplans is an essential first step. But, determining the opti-mal order for drafting those rooms will provide you with an additional advantage, significantly improving your chances of success.\n\n<size=6>OTHER</size>\nFLOORPLAN COMBOS\nA <b>FOYER</b> drafted before <b>GREAT HALL</b> would mean that all of its many doors would be unlocked.\nDrafting <b>BUNK ROOM</b> after <b>NURSERY</b> will give you 10 extra steps because it counts as two separate bedroom triggers.\nYou won't have to backtrack constantly to collect your gold spread from <b>OFFICE</b>,  if you draft a <b><size=1.8>CONFERENCE ROOM</b>.\nThe more items you have, the greater your chances of being able to create a contraption in  WORKSHOP.\nMaking a Connection\nEstate Connectivity\nTwo-pair combos aren't the only form of room synergy. You will find some floorplans <i>only</i> work by drafting other specific rooms! These rooms aren't powerful on their own, but can become very useful\nwhen their connectivity is eventually discovered. The <b>UTILITY CLOSET</b> is a perfect example of this! It does't do anything by itself but it can literally power up (or down) other rooms you have drafted in your house.\n<b>• GARAGE</b> - <i> powers garage door and\n grants west path access</i>\n<b>• DARKROOM- <i> turns lights back on after blowing a fuse</i>\n<b>• GYMNASIUM</b> - <i> turns lights off to prevent step loss</i>\n\nOTHER EXAMPLES\n<size=3><i>of connectivity</size>\nOne of the more simple examples, <b>HER LADYSHIP'S CHAMBER</b> has synergy with Lady Epsen's other two rooms, her <b>BOUDOIR</b> and her <b>WALK-IN CLOSET</b>.\nThe <b>BOILER ROOM</b> connects ducts from room to room to run steam-power to specific destinations in the house. <b>LABORATORY, GARAGE,   LAUNDRY ROOM, FURNACE</b> and <b>PUMP ROOM</b> all have uses for steam-power.\nSpeaking of <b>PUMP ROOM</b>, this room controls the water level throughout rooms in the estate and can interact directly with <b>THE POOL, AQUARIUM, GREENHOUSE</b>, <b>KITCHEN</b>, and several other features located outside of the main house.\n\nTIPS & TRICKS\n•   In the KITCHEN, you can check which course is being\n    served in the DINING ROOM that day. This will allow\n    you the opportunity to draft specific rooms that will\n    make the meal even more delicious!\n\n•  Besides counting as two bedrooms, BUNK ROOM also \n   counts as two rooms! This will increase the amount of \n   steps granted by MASTER BEDROOM, the amount    \n   of gold spread by the TOMB and the amount of keys\n   found in a SERVANT'S QUARTERS.\n   \n•  Each time you solve a puzzle in BILLIARD ROOM \n   or PARLOR, the difficulty will increase slightly the\n   next time you draft that room.\n\n•  Just because you didn't find any items in a room when\n   you first explored it, doesn't mean that will be the case\n   the next time you draft it.\n•  The day after drafting FREEZER, it enters an automated cooldown refreezing cycle, during which it cannot be drafted for the next 24 hours.\n\n•  If you are stuck or don't know what to do in a specific\n   room, sometimes it is smart to move on. There are multiple \n   ways to solve many of the challenges you will come across,\n   and there is a very good chance you will find a piece of\n   information down the road which may help.\n\n•  When in doubt:\n\nDRAFT ROOMS YOU HAVE\nNEVER SEEN BEFORE\n\n   Even if you do not think the rooms seem very useful,\n   they may still hold useful clues and information that may\n   help you on your journey.\n\nWORD FROM THE EDITOR\nAlthough with this volume we have provided our readers\nwith many potential strategies and tricks to try, we here at ARCHITECTURAL DIGEST hope that aspiring architects know that there truly is no set blueprint for success. \n\nForging your own path and coming up with your own unique strategies will, in our humble opinion, always provide the best results. Each architect has his own favorite room, each builder his own favorite tool. And thus, each player in turn will develop their own style of play and discover their own secrets and tricks that they can share with the world (or keep to themselves).\n\nWhatever strategy you employ, we wish you best of luck drafting and hope you build the house of your dreams.","8","PERIODICAL\nTitle - Drafting Strategy Vol III\nDate Borrower\nJun 5 '93 Kimberly Thompson","""Features"" in the table of contents is currently typo'd as ""feautres""","","aNewClue10","“A man obsessed, and cuckoo too”,\r\nThey would say as he would wander through.\r\nThe best medicine is not yet evidence,\r\nIf he found a new clue, he’d know what to do.\r\n","0.9411764706","","","","","","","","","","","","","book:draftingStrategyVol3"
"draftingStrategyVol4","Drafting Strategy Vol. IV","","","","","7","","","","aNewClue11","And having read this book so many times,\nHaving scoured over each of its cryptic lines,\nHave you exhausted your search?\nHave you seen all the signs?\n","0.9","","","","","","","","","","","","","book:draftingStrategyVol4"
